Player ID,Player,Nationality,Team Name,Position,Age,Season,FIFA rating,Injury,Date of Injury,Date of return,Recovery Time(days),total_minutes_played,matches_played,total_yellow_cards,total_red_cards,total_goals,total_assists,fatigue_level
182877,Anthony Martial,France,Man United,Center Forward,26,2021/22,79,Knee injury,2021-12-04,2021-12-13,9.0,1412.0,27.0,0.0,0.0,4.0,2.0,27.29
182877,Anthony Martial,France,Man United,Center Forward,27,2022/23,79,Achilles tendon irritation,2022-08-23,2022-09-26,34.0,1058.0,21.0,1.0,0.0,5.0,3.0,20.45
182877,Anthony Martial,France,Man United,Center Forward,27,2022/23,79,Back injury,2022-10-10,2022-10-31,21.0,1058.0,21.0,1.0,0.0,5.0,3.0,20.45
182877,Anthony Martial,France,Man United,Center Forward,27,2022/23,79,Hip injury,2023-02-02,2023-03-08,34.0,1058.0,21.0,1.0,0.0,5.0,3.0,20.45
48280,Edinson Cavani,Uruguay,Man United,Center Forward,34,2020/21,81,Knock,2020-12-06,2020-12-18,12.0,869.0,20.0,2.0,0.0,5.0,4.0,16.8
48280,Edinson Cavani,Uruguay,Man United,Center Forward,34,2020/21,81,Muscle injury,2021-02-15,2021-03-01,14.0,869.0,20.0,2.0,0.0,5.0,4.0,16.8
48280,Edinson Cavani,Uruguay,Man United,Center Forward,34,2020/21,81,Knock,2021-03-05,2021-03-21,16.0,869.0,20.0,2.0,0.0,5.0,4.0,16.8
48280,Edinson Cavani,Uruguay,Man United,Center Forward,35,2021/22,81,Tendon irritation,2021-11-04,2021-12-22,48.0,1998.0,35.0,5.0,0.0,15.0,4.0,38.62
48280,Edinson Cavani,Uruguay,Man United,Center Forward,35,2021/22,81,Groin problems,2022-02-11,2022-03-07,24.0,1998.0,35.0,5.0,0.0,15.0,4.0,38.62
48280,Edinson Cavani,Uruguay,Man United,Center Forward,35,2021/22,81,Calf injury,2022-04-01,2022-04-30,29.0,1998.0,35.0,5.0,0.0,15.0,4.0,38.62
69633,Christian Eriksen,Denmark,Man United,Central Midfielder,33,2022/23,83,Ankle injury,2023-01-29,2023-04-06,67.0,2542.0,32.0,3.0,0.0,2.0,11.0,49.13
106987,Marcel Sabitzer,Austria,Man United,Central Midfielder,32,2022/23,81,unknown injury,2023-03-06,2023-03-14,8.0,1602.0,40.0,6.0,0.0,2.0,2.0,30.96
106987,Marcel Sabitzer,Austria,Man United,Central Midfielder,32,2022/23,81,Groin problems,2023-04-16,2023-04-19,3.0,1602.0,40.0,6.0,0.0,2.0,2.0,30.96
106987,Marcel Sabitzer,Austria,Man United,Central Midfielder,32,2022/23,81,Meniscus injury,2023-05-10,2023-06-15,36.0,1602.0,40.0,6.0,0.0,2.0,2.0,30.96
401173,Jadon Sancho,England,Man United,Left winger,19,2021/22,82,Tonsillitis,2022-04-26,2022-05-08,12.0,2697.0,40.0,1.0,0.0,14.0,12.0,52.13
401173,Jadon Sancho,England,Man United,Left winger,20,2022/23,82,depression,2022-12-26,2023-01-31,36.0,2229.0,31.0,0.0,0.0,6.0,4.0,43.08
262749,David Raya,Spain,Brentford,Goalkeeper,26,2021/22,80,Knee injury,2021-10-25,2022-02-04,102.0,810.0,9.0,0.0,0.0,0.0,0.0,15.66
328658,Kristoffer Ajer,Norway,Brentford,Center Back,24,2021/22,76,Hamstring injury,2022-07-09,2022-08-31,53.0,1904.0,22.0,1.0,0.0,0.0,0.0,36.8
328658,Kristoffer Ajer,Norway,Brentford,Center Back,26,2023/24,76,Foot injury,2023-12-02,2024-01-16,45.0,1167.0,17.0,4.0,0.0,0.0,1.0,22.56
328658,Kristoffer Ajer,Norway,Brentford,Center Back,26,2023/24,76,Calf strain,2024-04-06,2024-04-20,14.0,1167.0,17.0,4.0,0.0,0.0,1.0,22.56
442248,Ethan Pinnock,Jamaica,Brentford,Center Back,29,2023/24,79,Ankle injury,2024-02-10,2024-04-13,63.0,3690.0,41.0,0.0,0.0,4.0,0.0,71.32
339556,Rico Henry,England,Brentford,Left Back,24,2023/24,75,Knee injury,2023-09-16,2024-10-05,385.0,2131.0,26.0,5.0,0.0,0.0,2.0,41.19
